item_id,comet_score,status
pt::B0019M9EQ4,0.8820,PASS
pt::B001A5FH9S,0.7782,PASS
pt::B001AATTD8,0.8545,PASS
pt::B001AHSNB0,0.8337,PASS
pt::B001B5CVNC,0.8506,PASS
pt::B001CJNWX0,0.8642,PASS
pt::B001CJRKDS,0.8627,PASS
pt::B001CK9760,0.8277,PASS
pt::B001CS51DK,0.8418,PASS
pt::B001D7REIK,0.8563,PASS
pt::B001D8GR00,0.8300,PASS
pt::B001DDUV20,0.8862,PASS
pt::B001DJ7Y2O,0.8794,PASS
pt::B001DL124I,0.8434,PASS
pt::B001E25JOA,0.8164,PASS
pt::B001F7AJKI,0.8527,PASS
pt::B001F7ARTQ,0.8327,PASS
pt::B001FN2PDG,0.8445,PASS
pt::B001FRRD48,0.7358,PASS
pt::B001JKIHAU,0.8685,PASS
pt::B001JTQCU8,0.8508,PASS
pt::B001K7I62Q,0.8456,PASS
pt::B001N0DQOS,0.8624,PASS
pt::B001NEJO18,0.8701,PASS
pt::B001O7F5PI,0.8623,PASS
pt::B001OC6DCW,0.8494,PASS
pt::B001P05NBA,0.8614,PASS
pt::B001Q3MA80,0.8499,PASS
pt::B001RB1QWW,0.7281,PASS
pt::B001RK2ZBO,0.8386,PASS
pt::B001RKS7AC,0.8252,PASS
pt::B001RNNXQM,0.8770,PASS
pt::B001RQ2YF0,0.8715,PASS
pt::B001SGY2X6,0.8712,PASS
pt::B001T9NUJE,0.8216,PASS
pt::B001TH7GUA,0.6267,RETRY
pt::B001TH7GUK,0.7346,PASS
pt::B001TH7GUU,0.6178,RETRY
pt::B001TK3ACA,0.8550,PASS
pt::B001UDTTJE,0.8188,PASS
pt::B001V9LPT4,0.8668,PASS
pt::B001VFUN82,0.8767,PASS
pt::B001XUR5FO,0.7838,PASS
pt::B001XURP7W,0.8496,PASS
pt::B001XXAZH6,0.8715,PASS
pt::B0021L9HKK,0.8503,PASS
pt::B0023MYNCE,0.8581,PASS
pt::B00267S7XW,0.8627,PASS
pt::B0026MF17C,0.8093,PASS
pt::B00275XTSQ,0.8273,PASS
pt::B0027P9C9G,0.7691,PASS
pt::B002BDU89M,0.8740,PASS
pt::B002BFA91C,0.8677,PASS
pt::B002C1B9PU,0.8733,PASS
pt::B002C1B9QY,0.7724,PASS
pt::B002C1BHIO,0.7760,PASS
pt::B002C73WRW,0.8705,PASS
pt::B002CZ1E2O,0.8726,PASS
pt::B002DEM9G4,0.8145,PASS
pt::B002DEM9HI,0.7803,PASS
pt::B002DUD36S,0.8158,PASS
pt::B002DW0VT8,0.8726,PASS
pt::B002FB7IX4,0.8760,PASS
pt::B002FU5QMK,0.8813,PASS
pt::B002HMWQE2,0.8275,PASS
pt::B002IC0YL8,0.4130,RETRY
pt::B002JMYCTC,0.8588,PASS
pt::B002LARRDK,0.8832,PASS
pt::B002MAPSQM,0.8792,PASS
pt::B002MCZJ78,0.8755,PASS
pt::B002P3KO8I,0.8191,PASS
pt::B002PHLZE6,0.8489,PASS
pt::B002QQ7TLY,0.8706,PASS
pt::B002R5AM7C,0.8699,PASS
pt::B002SGATH8,0.8724,PASS
pt::B002SQK2F2,0.8713,PASS
pt::B002U0KGEI,0.8679,PASS
pt::B002WE4HE2,0.8595,PASS
pt::B002WPTMPK,0.8401,PASS
pt::B002XGDU9M,0.8688,PASS
pt::B002Y6CJJ8,0.8837,PASS
pt::B002YZ3J0W,0.8668,PASS
pt::B002ZCXJZE,0.7303,PASS
pt::B00316263Y,0.8192,PASS
pt::B0032ZZP82,0.8191,PASS
pt::B0039BPG1K,0.7890,PASS
pt::B003B3P2C4,0.8617,PASS
pt::B003ES5ZR8,0.8192,PASS
pt::B003ES5ZSW,0.6459,RETRY
pt::B003ES5ZUU,0.8536,PASS
pt::B003EYVEUO,0.7122,PASS
pt::B003FMUMN0,0.8306,PASS
pt::B003HFCDLY,0.8175,PASS
pt::B003I4FHNA,0.8845,PASS
pt::B003MX9L84,0.8557,PASS
pt::B003NVMHKY,0.8436,PASS
pt::B003P2UMOE,0.7695,PASS
pt::B003TNMABW,0.8688,PASS
pt::B003U7LJJ6,0.8380,PASS
pt::B003UE52ME,0.8787,PASS
pt::B003VAK1I2,0.8463,PASS
pt::B003VAM32E,0.8839,PASS
pt::B003VWY0VY,0.8657,PASS
pt::B003Y73Q3O,0.8710,PASS
pt::B003Y74AX4,0.8527,PASS
pt::B003Y74AXO,0.8626,PASS
pt::B003YH9EZ8,0.8679,PASS
pt::B0040702HA,0.8808,PASS
pt::B0041BT21M,0.8328,PASS
pt::B0041Q38NU,0.8272,PASS
pt::B0043T7FXE,0.8573,PASS
pt::B0043WJRRS,0.8721,PASS
pt::B0045FM6SU,0.8852,PASS
pt::B0049MOJ2U,0.8263,PASS
pt::B004AW6RUQ,0.8539,PASS
pt::B004CLYE8C,0.8367,PASS
pt::B004CLYEDC,0.7739,PASS
pt::B004CLYEFK,0.8310,PASS
pt::B004CLYEH8,0.7725,PASS
pt::B004CLYEI2,0.7954,PASS
pt::B004CLYJ1Y,0.8630,PASS
pt::B004FRSVPU,0.8646,PASS
pt::B004GK0GKO,0.8492,PASS
pt::B004IM35F8,0.8584,PASS
pt::B004J4VYEY,0.8846,PASS
pt::B004J4VYG2,0.8860,PASS
pt::B004KPLNO8,0.7851,PASS
pt::B004MSI7UQ,0.8729,PASS
pt::B004NBZ98K,0.6337,RETRY
pt::B004NY9V04,0.8624,PASS
pt::B004Q3R9AQ,0.8364,PASS
pt::B004R7P28W,0.8513,PASS
pt::B004T9RR6I,0.8508,PASS
pt::B004T9RR7C,0.8535,PASS
pt::B004TPJKEY,0.8418,PASS
pt::B004TUPCFK,0.7664,PASS
pt::B004U78J1G,0.8241,PASS
pt::B004WIUDGM,0.8697,PASS
pt::B004XZL980,0.8490,PASS
pt::B004YI9NTS,0.8839,PASS
pt::B004Z0KPUG,0.7744,PASS
pt::B004ZF0PXI,0.8731,PASS
pt::B0051OKCHG,0.8835,PASS
pt::B0053NBLFW,0.7582,PASS
pt::B0053R0WWG,0.8854,PASS
pt::B0054L8MR8,0.8584,PASS
pt::B0055QYJIS,0.8325,PASS
pt::B0056H9KKI,0.7901,PASS
pt::B005DM9BGE,0.8711,PASS
pt::B005EJLFXI,0.8697,PASS
pt::B005EJLFXS,0.7596,PASS
pt::B005EWB37S,0.8702,PASS
pt::B005FDXF2C,0.7558,PASS
pt::B005FDXMJS,0.8455,PASS
pt::B005FDXZJU,0.8003,PASS
pt::B005FFVTC8,0.7194,PASS
pt::B005G0CUP2,0.8686,PASS
pt::B005GI2VMG,0.5480,RETRY
pt::B005H7MXZ6,0.8697,PASS
pt::B005HGZF7U,0.6374,RETRY
pt::B005I6EVUG,0.8548,PASS
pt::B005IMFX2K,0.8055,PASS
pt::B005IZ65G0,0.8699,PASS
pt::B005J0RAI6,0.8702,PASS
pt::B005J0W3F6,0.8699,PASS
pt::B005KAK2FI,0.8662,PASS
pt::B005KQ2O26,0.8654,PASS
pt::B005NHR6KM,0.8528,PASS
pt::B005Q0WDZE,0.8785,PASS
pt::B005QBK5V2,0.7758,PASS
pt::B005RXGZOU,0.8782,PASS
pt::B005T4ZBBK,0.8184,PASS
pt::B005YQY5TM,0.8727,PASS
pt::B00608WXGA,0.8252,PASS
pt::B00685ZCZY,0.8287,PASS
pt::B006LZNP3M,0.8621,PASS
pt::B006T7KQDO,0.8265,PASS
pt::B006YB9082,0.7842,PASS
pt::B0071BTJPI,0.7960,PASS
pt::B0073FE1F0,0.8258,PASS
pt::B0074BW614,0.8704,PASS
pt::B0077BB3VA,0.8386,PASS
pt::B0079MX4Q4,0.8296,PASS
pt::B0079TOEQQ,0.8411,PASS
pt::B007B6YPAW,0.8597,PASS
pt::B007BZ1092,0.8419,PASS
pt::B007C81JL2,0.8658,PASS
pt::B007F9XHBI,0.8312,PASS
pt::B007JIBAZA,0.6547,RETRY
pt::B007KZQM9G,0.7391,PASS
pt::B007M506WS,0.8875,PASS
pt::B007OY5V68,0.8656,PASS
pt::B007PTCFFW,0.8605,PASS
pt::B007X3VEBG,0.8665,PASS
pt::B007XDFNB8,0.8244,PASS
pt::B007Y4TTWU,0.8588,PASS
pt::B0081TXIXI,0.8444,PASS
pt::B00834SJSK,0.8664,PASS
pt::B008AF383S,0.8470,PASS
pt::B008AGP5H4,0.7563,PASS
pt::B008CP5R8K,0.8158,PASS
pt::B008CXTX5U,0.8604,PASS
pt::B008F05Q2E,0.6694,RETRY
pt::B008MF465K,0.8454,PASS
pt::B008R7EVE4,0.8727,PASS
pt::B008YRG5JQ,0.8031,PASS
pt::B0090BTY8Y,0.8535,PASS
pt::B00923G46U,0.8745,PASS
pt::B0094C0DYI,0.8302,PASS
pt::B009C98NPY,0.8826,PASS
pt::B009LL9VDG,0.8648,PASS
pt::B009NUWRF4,0.7176,PASS
pt::B000026D8E,0.8051,PASS
pt::B00003006E,0.7695,PASS
pt::B00004TJ7O,0.8888,PASS
pt::B00004Z5KI,0.7192,PASS
pt::B00004Z5M1,0.8707,PASS
pt::B00004ZCJE,0.8519,PASS
pt::B0000510T7,0.8524,PASS
pt::B0000510ZO,0.8355,PASS
pt::B00005LD4T,0.4742,RETRY
pt::B00005LD4W,0.6538,RETRY
pt::B00005ML7Q,0.8028,PASS
pt::B000067REG,0.8483,PASS
pt::B000067S60,0.8743,PASS
pt::B000067VBL,0.8040,PASS
pt::B00006FXHQ,0.8625,PASS
pt::B00006HYYH,0.8514,PASS
pt::B00006JQLD,0.8564,PASS
pt::B00006OX6B,0.8515,PASS
pt::B000083JZH,0.8471,PASS
pt::B00008VF63,0.8609,PASS
pt::B00008Y0VN,0.8654,PASS
pt::B000093UDQ,0.8544,PASS
pt::B000095SB4,0.8743,PASS
pt::B00009RUCH,0.8591,PASS
pt::B00009VSBE,0.8808,PASS
pt::B0000BVYTV,0.8810,PASS
pt::B00012FVYC,0.8708,PASS
pt::B0002D0ROO,0.8646,PASS
pt::B0002EQUL2,0.8646,PASS
pt::B0002EXJ8Y,0.8393,PASS
pt::B0002GRUV4,0.7654,PASS
pt::B0002IP2TY,0.7391,PASS
pt::B0002P4VHG,0.8446,PASS
pt::B0002VAQR4,0.7940,PASS
pt::B0006B088W,0.7147,PASS
pt::B0006HW668,0.8443,PASS
pt::B0006VHZJ2,0.6937,RETRY
pt::B00070QI1I,0.8697,PASS
pt::B0007GIXR4,0.8915,PASS
pt::B0007XXU3E,0.8529,PASS
pt::B0009OAFI4,0.8501,PASS
pt::B0009PAYY8,0.7325,PASS
pt::B0009VT9OI,0.8774,PASS
pt::B0009VT9OS,0.8763,PASS
pt::B000B1H89E,0.8478,PASS
pt::B000B5H2BE,0.8176,PASS
pt::B000BKY3Q6,0.8283,PASS
pt::B000BNUDXK,0.8643,PASS
pt::B000BSLTIS,0.7764,PASS
pt::B000BSOBG0,0.8692,PASS
pt::B000BY8BW4,0.8610,PASS
pt::B000BYH8EQ,0.8412,PASS
pt::B000C12GH2,0.8551,PASS
pt::B000C8TSCQ,0.8384,PASS
pt::B000CNPAAA,0.8640,PASS
pt::B000CR78C4,0.8073,PASS
pt::B000EC8WEU,0.8528,PASS
pt::B000EI3W8U,0.8263,PASS
pt::B000EOPQ7E,0.8396,PASS
pt::B000EOR4JM,0.7642,PASS
pt::B000EQW5SA,0.8505,PASS
pt::B000EVM5DK,0.8883,PASS
pt::B000F5FKHI,0.8839,PASS
pt::B000F7QRTG,0.8243,PASS
pt::B000FDTNZK,0.8670,PASS
pt::B000FFYNS0,0.8441,PASS
pt::B000FQ2JLW,0.8346,PASS
pt::B000FTLSR0,0.8378,PASS
pt::B000G31SR0,0.7096,PASS
pt::B000G5S4JI,0.8224,PASS
pt::B000GG5LUW,0.8733,PASS
pt::B000GHD73Y,0.8183,PASS
pt::B000GR1CBI,0.8018,PASS
pt::B000I97FJ2,0.7456,PASS
pt::B000J421ZY,0.7228,PASS
pt::B000JJSQ8U,0.8394,PASS
pt::B000JKUOIY,0.8204,PASS
pt::B000K18NLM,0.7464,PASS
pt::B000KO0GY6,0.8720,PASS
pt::B000LTNIZE,0.7815,PASS
pt::B000M4GT68,0.8556,PASS
pt::B000M4LXIW,0.8244,PASS
pt::B000MX1QXA,0.8384,PASS
pt::B000N3LL02,0.8589,PASS
pt::B000NAQRN6,0.8450,PASS
pt::B000NAQS3K,0.8511,PASS
pt::B000NF6ZK6,0.8160,PASS
pt::B000NRSWYQ,0.8695,PASS
pt::B000NVR9SM,0.8762,PASS
pt::B000P0M99U,0.8476,PASS
pt::B000P8Z3MM,0.7714,PASS
pt::B000PCBVA6,0.8818,PASS
pt::B000PY9SLS,0.8089,PASS
pt::B000QDBOCY,0.8544,PASS
pt::B000QW9DPU,0.8753,PASS
pt::B000QWG43Y,0.8252,PASS
pt::B000RHZJN4,0.8865,PASS
pt::B000TKHBDK,0.8820,PASS
pt::B000UE50O2,0.6758,RETRY
pt::B000UOBJ7O,0.8455,PASS
pt::B000UV4EU6,0.8836,PASS
pt::B000UXDHOI,0.8746,PASS
pt::B000V1MLBE,0.8663,PASS
pt::B000V4TMWC,0.8392,PASS
pt::B000V4X26O,0.8816,PASS
pt::B000V9T2JA,0.7621,PASS
pt::B000VL1QF6,0.8585,PASS
pt::B000VRBLMS,0.8742,PASS
pt::B000VSWHIE,0.8670,PASS
pt::B000VX6XL6,0.8456,PASS
pt::B000VY9HFE,0.8449,PASS
pt::B000WKW69Q,0.8615,PASS
pt::B000X5ZVS8,0.8530,PASS
pt::B000XQDTRW,0.8354,PASS
pt::B000YM2OIK,0.8777,PASS
pt::B000Z80ICM,0.8081,PASS
pt::B000Z99ZCA,0.8186,PASS
pt::B000ZD067Y,0.8212,PASS
pt::B0010WP46M,0.8631,PASS
pt::B0011NK1FY,0.8489,PASS
pt::B0011ZH0BK,0.8892,PASS
pt::B001207YMY,0.8520,PASS
pt::B0012UCYVU,0.8713,PASS
pt::B0012UF1QA,0.8726,PASS
pt::B0012UGJNY,0.8706,PASS
pt::B0012UKOV2,0.8717,PASS
pt::B0015AM30Y,0.8738,PASS
pt::B00169N0BK,0.7716,PASS
pt::B0017KZ8Y0,0.8196,PASS
pt::B0018M7ZES,0.8677,PASS
pt::B0018P0S1M,0.8576,PASS
pt::B0018RRX6S,0.8343,PASS
pt::B0019OZ3OO,0.7281,PASS
pt::B0019QU1FI,0.8588,PASS
pt::B0019UGCLG,0.8746,PASS
pt::B0019X20R8,0.8456,PASS
pt::B001A4LVYY,0.8740,PASS
pt::B001AJOIYE,0.7937,PASS
pt::B001ANZTYS,0.5277,RETRY
pt::B001B077PO,0.8566,PASS
pt::B001B8RSAK,0.8474,PASS
pt::B001BLTDZA,0.8006,PASS
pt::B001BPMLRS,0.8242,PASS
pt::B001C3V54O,0.8727,PASS
pt::B001DERZK0,0.8746,PASS
pt::B001EQ1IQY,0.8592,PASS
pt::B001F51G1G,0.8846,PASS
pt::B001F7FMUA,0.8659,PASS
pt::B001FA09VE,0.8555,PASS
pt::B001G4ZA6I,0.8619,PASS
pt::B001GE6T9A,0.8533,PASS
pt::B001GS8FZC,0.8308,PASS
pt::B001GX6MJ8,0.6896,RETRY
pt::B001H9NR2Q,0.8830,PASS
pt::B001H9NX3Y,0.8726,PASS
pt::B001HJTK5Y,0.8496,PASS
pt::B001HL0G5K,0.8598,PASS
pt::B001HN5HOS,0.8125,PASS
pt::B001ID829O,0.7824,PASS
pt::B001IEZX3G,0.7798,PASS
pt::B001IKKMT0,0.5847,RETRY
pt::B001KN6WL2,0.8142,PASS
pt::B001M5PZXO,0.8533,PASS
pt::B001MSVPM6,0.8535,PASS
pt::B001MTE32O,0.8608,PASS
pt::B001NPDKVM,0.8711,PASS
pt::B001OBV7T2,0.7544,PASS
pt::B001OI2Z4Q,0.8820,PASS
pt::B001OMH1JQ,0.8462,PASS
pt::B001PUQ7PG,0.8737,PASS
pt::B001QTZKHM,0.8768,PASS
pt::B001QVHGF4,0.8639,PASS
pt::B001R6SRMO,0.8494,PASS
pt::B001SEL36M,0.7893,PASS
pt::B001SLFN7U,0.8027,PASS
pt::B001TH7GVE,0.7918,PASS
pt::B001TI9F8U,0.6613,RETRY
pt::B0020ZDI5C,0.8586,PASS
pt::B0021AFU70,0.8603,PASS
pt::B0021O9KCM,0.7737,PASS
pt::B00264NZWS,0.8359,PASS
pt::B00267GDM4,0.7456,PASS
pt::B0026FCGLI,0.8437,PASS
pt::B002771V48,0.8522,PASS
pt::B00284ADXA,0.8548,PASS
pt::B0028Y4DHM,0.8612,PASS
pt::B002A6CWCQ,0.8026,PASS
pt::B002AH2AH2,0.8439,PASS
