item_id,translator,comet_score,status
rs::ADLVFFE4VBT8::B000JVCPEY::1231632000,vertex-cloud-translation-v3,0.8553,PASS
rt::ADLVFFE4VBT8::B000OEOMOW::1226880000,vertex-cloud-translation-v3,0.7124,PASS
rt::ADLVFFE4VBT8::B000HEANB0::1292371200,vertex-cloud-translation-v3,0.5245,RETRY
rs::ADLVFFE4VBT8::B000FITJ04::1239580800,vertex-cloud-translation-v3,0.7479,PASS
rs::ADLVFFE4VBT8::B000M51NRM::1263340800,vertex-cloud-translation-v3,0.8652,PASS
rs::ADLVFFE4VBT8::B0001IXUDK::1246924800,vertex-cloud-translation-v3,0.8561,PASS
rt::ADLVFFE4VBT8::B00006343P::1320364800,vertex-cloud-translation-v3,0.6064,RETRY
rt::ADLVFFE4VBT8::B0009Y7APU::1239062400,vertex-cloud-translation-v3,0.8326,PASS
rs::ADLVFFE4VBT8::B000HKGK8Y::1264896000,vertex-cloud-translation-v3,0.7024,PASS
rs::ADLVFFE4VBT8::B0002L5R78::1229212800,vertex-cloud-translation-v3,0.8923,PASS
rs::ADLVFFE4VBT8::B000OH56ZS::1228780800,vertex-cloud-translation-v3,0.8563,PASS
rt::ADLVFFE4VBT8::B000JVCPEY::1231632000,vertex-cloud-translation-v3,0.5675,RETRY
rs::ADLVFFE4VBT8::B000BYA5NC::1263427200,vertex-cloud-translation-v3,0.8548,PASS
rs::ADLVFFE4VBT8::B000067RVL::1250640000,vertex-cloud-translation-v3,0.8790,PASS
rt::ADLVFFE4VBT8::B0001IXUDK::1246924800,vertex-cloud-translation-v3,0.5675,RETRY
rt::ADLVFFE4VBT8::B000M51NRM::1263340800,vertex-cloud-translation-v3,0.6566,RETRY
rs::ADLVFFE4VBT8::B000KZ67FC::1247011200,vertex-cloud-translation-v3,0.8697,PASS
rt::ADLVFFE4VBT8::B000FITJ04::1239580800,vertex-cloud-translation-v3,0.5716,RETRY
rt::ADLVFFE4VBT8::B0002L5R78::1229212800,vertex-cloud-translation-v3,0.5922,RETRY
rs::ADLVFFE4VBT8::B000FNBYKW::1263772800,vertex-cloud-translation-v3,0.8603,PASS
rt::ADLVFFE4VBT8::B000HKGK8Y::1264896000,vertex-cloud-translation-v3,0.5397,RETRY
rt::ADLVFFE4VBT8::B000OH56ZS::1228780800,vertex-cloud-translation-v3,0.6332,RETRY
rs::ADLVFFE4VBT8::B0001LTT64::1229990400,vertex-cloud-translation-v3,0.8897,PASS
rs::ADLVFFE4VBT8::B000MDZKUU::1369872000,vertex-cloud-translation-v3,0.7138,PASS
rt::ADLVFFE4VBT8::B000BYA5NC::1263427200,vertex-cloud-translation-v3,0.5384,RETRY
rt::ADLVFFE4VBT8::B000067RVL::1250640000,vertex-cloud-translation-v3,0.6113,RETRY
rt::ADLVFFE4VBT8::B000KZ67FC::1247011200,vertex-cloud-translation-v3,0.5741,RETRY
rs::ADLVFFE4VBT8::B0001LTT64::1229990400,gemini-3.1-pro-preview,0.8900,PASS
rs::ADLVFFE4VBT8::B0007LJHVA::1188691200,claude-opus-4-7,0.8529,PASS
rs::ADLVFFE4VBT8::B000FNBYKW::1263772800,gemini-3.1-pro-preview,0.8638,PASS
rs::ADLVFFE4VBT8::B000HPV3RW::1245024000,claude-opus-4-7,0.8897,PASS
rs::ADLVFFE4VBT8::B000PKC102::1219276800,claude-opus-4-7,0.8559,PASS
rs::ADLVFFE4VBT8::B000MDZKUU::1369872000,gemini-3.1-pro-preview,0.7739,PASS
rs::ADLVFFE4VBT8::B0007LJHVA::1188691200,gemini-3.1-pro-preview,0.8502,PASS
rs::ADLVFFE4VBT8::B000HPV3RW::1245024000,gemini-3.1-pro-preview,0.8897,PASS
rs::ADLVFFE4VBT8::B000PKC102::1219276800,gemini-3.1-pro-preview,0.8559,PASS
rt::ADLVFFE4VBT8::B0001LTT64::1229990400,claude-opus-4-7,0.8641,PASS
rt::ADLVFFE4VBT8::B000BYA5NC::1263427200,claude-opus-4-7,0.5334,RETRY
rt::ADLVFFE4VBT8::B000067RVL::1250640000,claude-opus-4-7,0.6244,RETRY
rt::ADLVFFE4VBT8::B000FNBYKW::1263772800,claude-opus-4-7,0.6280,RETRY
rs::ADLVFFE4VBT8::B000CATRHK::1220572800,claude-opus-4-7,0.8409,PASS
rs::ADLVFFE4VBT8::B000067SGI::1298246400,claude-opus-4-7,0.7554,PASS
rs::ADLVFFE4VBT8::B000LQFI2I::1249516800,claude-opus-4-7,0.8897,PASS
rt::ADLVFFE4VBT8::B000MDZKUU::1369872000,claude-opus-4-7,0.8446,PASS
rt::ADLVFFE4VBT8::B000KZ67FC::1247011200,claude-opus-4-7,0.5604,RETRY
rt::ADLVFFE4VBT8::B0001LTT64::1229990400,gemini-3.1-pro-preview,0.8607,PASS
rt::ADLVFFE4VBT8::B000067RVL::1250640000,gemini-3.1-pro-preview,0.5913,RETRY
rs::ADLVFFE4VBT8::B00020BJA8::1246665600,claude-opus-4-7,0.8839,PASS
rs::ADLVFFE4VBT8::B000FVGM38::1262908800,claude-opus-4-7,0.8755,PASS
rs::ADLVFFE4VBT8::B000MF7R4K::1173484800,claude-opus-4-7,0.4573,RETRY
rt::ADLVFFE4VBT8::B000PKC102::1219276800,claude-opus-4-7,0.8396,PASS
rs::ADLVFFE4VBT8::B000067SGI::1298246400,gemini-3.1-pro-preview,0.8452,PASS
rt::ADLVFFE4VBT8::B000067SGI::1298246400,claude-opus-4-7,0.8234,PASS
rt::ADLVFFE4VBT8::B000MDZKUU::1369872000,gemini-3.1-pro-preview,0.7704,PASS
rt::ADLVFFE4VBT8::B000FNBYKW::1263772800,gemini-3.1-pro-preview,0.6043,RETRY
rs::ADLVFFE4VBT8::B000CATRHK::1220572800,gemini-3.1-pro-preview,0.8409,PASS
rt::ADLVFFE4VBT8::B0007LJHVA::1188691200,claude-opus-4-7,0.6935,RETRY
rt::ADLVFFE4VBT8::B000KZ67FC::1247011200,gemini-3.1-pro-preview,0.5614,RETRY
rs::ADLVFFE4VBT8::B0007SKSES::1226102400,claude-opus-4-7,0.8612,PASS
rs::ADLVFFE4VBT8::B000LQFI2I::1249516800,gemini-3.1-pro-preview,0.8897,PASS
rt::ADLVFFE4VBT8::B000BYA5NC::1263427200,gemini-3.1-pro-preview,0.5380,RETRY
rs::ADLVFFE4VBT8::B000I1IGQ6::1283126400,claude-opus-4-7,0.8615,PASS
rs::ADLVFFE4VBT8::B00020BJA8::1246665600,gemini-3.1-pro-preview,0.8839,PASS
rs::ADLVFFE4VBT8::B000FVGM38::1262908800,gemini-3.1-pro-preview,0.8731,PASS
rs::ADLVFFE4VBT8::B000MF7R4K::1173484800,gemini-3.1-pro-preview,0.6463,RETRY
rt::ADLVFFE4VBT8::B000FVGM38::1262908800,claude-opus-4-7,0.6907,RETRY
rt::ADLVFFE4VBT8::B000HPV3RW::1245024000,claude-opus-4-7,0.5954,RETRY
rt::ADLVFFE4VBT8::B000LQFI2I::1249516800,claude-opus-4-7,0.5958,RETRY
rt::ADLVFFE4VBT8::B000PKC102::1219276800,gemini-3.1-pro-preview,0.8430,PASS
rt::ADLVFFE4VBT8::B000CATRHK::1220572800,claude-opus-4-7,0.6398,RETRY
rt::ADLVFFE4VBT8::B00020BJA8::1246665600,claude-opus-4-7,0.5458,RETRY
rs::ADLVFFE4VBT8::B00006B8K2::1244160000,claude-opus-4-7,0.8733,PASS
rs::ADLVFFE4VBT8::B000DZKUHA::1222387200,claude-opus-4-7,0.5398,RETRY
rs::ADLVFFE4VBT8::B000M17AVO::1221782400,claude-opus-4-7,0.8772,PASS
rt::ADLVFFE4VBT8::B000067SGI::1298246400,gemini-3.1-pro-preview,0.7841,PASS
rs::ADLVFFE4VBT8::B000261N6M::1220745600,claude-opus-4-7,0.7942,PASS
rt::ADLVFFE4VBT8::B000MF7R4K::1173484800,claude-opus-4-7,0.7339,PASS
rs::ADLVFFE4VBT8::B000FZX9I0::1223251200,claude-opus-4-7,0.8099,PASS
rs::ADLVFFE4VBT8::B0007SKSES::1226102400,gemini-3.1-pro-preview,0.8612,PASS
rs::ADLVFFE4VBT8::B000MX48VM::1251072000,claude-opus-4-7,0.8765,PASS
rt::ADLVFFE4VBT8::B0007LJHVA::1188691200,gemini-3.1-pro-preview,0.6150,RETRY
rt::ADLVFFE4VBT8::B000CATRHK::1220572800,gemini-3.1-pro-preview,0.6119,RETRY
rt::ADLVFFE4VBT8::B0007SKSES::1226102400,claude-opus-4-7,0.5769,RETRY
rs::ADLVFFE4VBT8::B00093IIRA::1225324800,claude-opus-4-7,0.8855,PASS
rs::ADLVFFE4VBT8::B000I1IGQ6::1283126400,gemini-3.1-pro-preview,0.8679,PASS
rt::ADLVFFE4VBT8::B00006B8K2::1244160000,claude-opus-4-7,0.5999,RETRY
rs::ADLVFFE4VBT8::B00002NDRF::1298419200,claude-opus-4-7,0.7877,PASS
rt::ADLVFFE4VBT8::B000I1IGQ6::1283126400,claude-opus-4-7,0.5839,RETRY
rt::ADLVFFE4VBT8::B000DZKUHA::1222387200,claude-opus-4-7,0.7312,PASS
rs::ADLVFFE4VBT8::B000J38QBS::1289520000,claude-opus-4-7,0.8520,PASS
rt::ADLVFFE4VBT8::B000LQFI2I::1249516800,gemini-3.1-pro-preview,0.5567,RETRY
rt::ADLVFFE4VBT8::B000HPV3RW::1245024000,gemini-3.1-pro-preview,0.5950,RETRY
rt::ADLVFFE4VBT8::B000FZX9I0::1223251200,claude-opus-4-7,0.8568,PASS
rs::ADLVFFE4VBT8::B00006B8K2::1244160000,gemini-3.1-pro-preview,0.8733,PASS
rs::ADLVFFE4VBT8::B00009V2W9::1255305600,claude-opus-4-7,0.8635,PASS
rt::ADLVFFE4VBT8::B000M17AVO::1221782400,claude-opus-4-7,0.5907,RETRY
rs::ADLVFFE4VBT8::B000M17AVO::1221782400,gemini-3.1-pro-preview,0.8720,PASS
rs::ADLVFFE4VBT8::B000EF3YQI::1267747200,claude-opus-4-7,0.7560,PASS
rt::ADLVFFE4VBT8::B000MX48VM::1251072000,claude-opus-4-7,0.7737,PASS
rs::ADLVFFE4VBT8::B000M2GYF6::1223251200,claude-opus-4-7,0.8755,PASS
rs::ADLVFFE4VBT8::B000DZKUHA::1222387200,gemini-3.1-pro-preview,0.4865,RETRY
rt::ADLVFFE4VBT8::B000261N6M::1220745600,claude-opus-4-7,0.7570,PASS
rt::ADLVFFE4VBT8::B00002NDRF::1298419200,claude-opus-4-7,0.7587,PASS
rt::ADLVFFE4VBT8::B000FVGM38::1262908800,gemini-3.1-pro-preview,0.6277,RETRY
rs::ADLVFFE4VBT8::B000HDL05O::1276041600,claude-opus-4-7,0.8583,PASS
rs::ADLVFFE4VBT8::B0002CPBUK::1229990400,claude-opus-4-7,0.8819,PASS
rs::ADLVFFE4VBT8::B000NO8GNG::1231200000,claude-opus-4-7,0.8703,PASS
rt::ADLVFFE4VBT8::B00093IIRA::1225324800,claude-opus-4-7,0.6252,RETRY
rt::ADLVFFE4VBT8::B00020BJA8::1246665600,gemini-3.1-pro-preview,0.5663,RETRY
rt::ADLVFFE4VBT8::B000M2GYF6::1223251200,claude-opus-4-7,0.8715,PASS
rs::ADLVFFE4VBT8::B000261N6M::1220745600,gemini-3.1-pro-preview,0.8437,PASS
rs::ADLVFFE4VBT8::B0009MFTSW::1271203200,claude-opus-4-7,0.7520,PASS
rs::ADLVFFE4VBT8::B00005114Z::1242691200,claude-opus-4-7,0.7944,PASS
rt::ADLVFFE4VBT8::B000MF7R4K::1173484800,gemini-3.1-pro-preview,0.6929,RETRY
rt::ADLVFFE4VBT8::B00009V2W9::1255305600,claude-opus-4-7,0.6953,RETRY
rt::ADLVFFE4VBT8::B000EF3YQI::1267747200,claude-opus-4-7,0.7058,PASS
rs::ADLVFFE4VBT8::B000FZX9I0::1223251200,gemini-3.1-pro-preview,0.8392,PASS
rs::ADLVFFE4VBT8::B000JMJWV2::1293580800,claude-opus-4-7,0.8850,PASS
rs::ADLVFFE4VBT8::B000MX48VM::1251072000,gemini-3.1-pro-preview,0.8765,PASS
rt::ADLVFFE4VBT8::B000J38QBS::1289520000,claude-opus-4-7,0.5544,RETRY
rs::ADLVFFE4VBT8::B0000VP1WQ::1245628800,claude-opus-4-7,0.8802,PASS
rs::ADLVFFE4VBT8::B000FDVK2E::1249516800,claude-opus-4-7,0.8897,PASS
rt::ADLVFFE4VBT8::B0007SKSES::1226102400,gemini-3.1-pro-preview,0.5545,RETRY
rs::ADLVFFE4VBT8::B000M4XMGI::1225152000,claude-opus-4-7,0.8756,PASS
rt::ADLVFFE4VBT8::B0002CPBUK::1229990400,claude-opus-4-7,0.6163,RETRY
rt::ADLVFFE4VBT8::B000NO8GNG::1231200000,claude-opus-4-7,0.5624,RETRY
rs::ADLVFFE4VBT8::B00093IIRA::1225324800,gemini-3.1-pro-preview,0.8789,PASS
rt::ADLVFFE4VBT8::B00005114Z::1242691200,claude-opus-4-7,0.7702,PASS
rs::ADLVFFE4VBT8::B00002NDRF::1298419200,gemini-3.1-pro-preview,0.7877,PASS
rt::ADLVFFE4VBT8::B000I1IGQ6::1283126400,gemini-3.1-pro-preview,0.6310,RETRY
rs::ADLVFFE4VBT8::B000HEANB0::1292371200,claude-opus-4-7,0.8129,PASS
rt::ADLVFFE4VBT8::B000JMJWV2::1293580800,claude-opus-4-7,0.7909,PASS
rs::ADLVFFE4VBT8::B0002KKIUA::1297382400,claude-opus-4-7,0.7994,PASS
rt::ADLVFFE4VBT8::B0009MFTSW::1271203200,claude-opus-4-7,0.6072,RETRY
rs::ADLVFFE4VBT8::B000J38QBS::1289520000,gemini-3.1-pro-preview,0.8752,PASS
rs::ADLVFFE4VBT8::B000OEOMOW::1226880000,claude-opus-4-7,0.8754,PASS
rt::ADLVFFE4VBT8::B000HDL05O::1276041600,claude-opus-4-7,0.6198,RETRY
rs::ADLVFFE4VBT8::B0009Y7APU::1239062400,claude-opus-4-7,0.8479,PASS
rs::ADLVFFE4VBT8::B00006343P::1320364800,claude-opus-4-7,0.8614,PASS
rs::ADLVFFE4VBT8::B000JVCPEY::1231632000,claude-opus-4-7,0.8610,PASS
rt::ADLVFFE4VBT8::B0000VP1WQ::1245628800,claude-opus-4-7,0.7315,PASS
rt::ADLVFFE4VBT8::B000DZKUHA::1222387200,gemini-3.1-pro-preview,0.7248,PASS
rt::ADLVFFE4VBT8::B000FZX9I0::1223251200,gemini-3.1-pro-preview,0.8358,PASS
rt::ADLVFFE4VBT8::B000OEOMOW::1226880000,claude-opus-4-7,0.8164,PASS
rt::ADLVFFE4VBT8::B0002KKIUA::1297382400,claude-opus-4-7,0.7607,PASS
rt::ADLVFFE4VBT8::B000FDVK2E::1249516800,claude-opus-4-7,0.5460,RETRY
rt::ADLVFFE4VBT8::B000M4XMGI::1225152000,claude-opus-4-7,0.6806,RETRY
rs::ADLVFFE4VBT8::B00009V2W9::1255305600,gemini-3.1-pro-preview,0.8659,PASS
rs::ADLVFFE4VBT8::B0001IXUDK::1246924800,claude-opus-4-7,0.8644,PASS
rs::ADLVFFE4VBT8::B000FITJ04::1239580800,claude-opus-4-7,0.8433,PASS
rs::ADLVFFE4VBT8::B000M51NRM::1263340800,claude-opus-4-7,0.8678,PASS
rs::ADLVFFE4VBT8::B000EF3YQI::1267747200,gemini-3.1-pro-preview,0.8535,PASS
rt::ADLVFFE4VBT8::B000HEANB0::1292371200,claude-opus-4-7,0.4817,RETRY
rs::ADLVFFE4VBT8::B0002L5R78::1229212800,claude-opus-4-7,0.8899,PASS
rt::ADLVFFE4VBT8::B0009Y7APU::1239062400,claude-opus-4-7,0.8287,PASS
rs::ADLVFFE4VBT8::B000M2GYF6::1223251200,gemini-3.1-pro-preview,0.8755,PASS
rs::ADLVFFE4VBT8::B000OH56ZS::1228780800,claude-opus-4-7,0.8607,PASS
rs::ADLVFFE4VBT8::B000HKGK8Y::1264896000,claude-opus-4-7,0.7293,PASS
rt::ADLVFFE4VBT8::B00006343P::1320364800,claude-opus-4-7,0.5752,RETRY
rt::ADLVFFE4VBT8::B000261N6M::1220745600,gemini-3.1-pro-preview,0.7205,PASS
rs::ADLVFFE4VBT8::B000BYA5NC::1263427200,claude-opus-4-7,0.8523,PASS
rt::ADLVFFE4VBT8::B000MX48VM::1251072000,gemini-3.1-pro-preview,0.7414,PASS
rs::ADLVFFE4VBT8::B000067RVL::1250640000,claude-opus-4-7,0.8790,PASS
rs::ADLVFFE4VBT8::B000KZ67FC::1247011200,claude-opus-4-7,0.8728,PASS
rt::ADLVFFE4VBT8::B00002NDRF::1298419200,gemini-3.1-pro-preview,0.7728,PASS
rt::ADLVFFE4VBT8::B000M17AVO::1221782400,gemini-3.1-pro-preview,0.6095,RETRY
rt::ADLVFFE4VBT8::B000JVCPEY::1231632000,claude-opus-4-7,0.5635,RETRY
rt::ADLVFFE4VBT8::B000M51NRM::1263340800,claude-opus-4-7,0.6457,RETRY
rt::ADLVFFE4VBT8::B000FITJ04::1239580800,claude-opus-4-7,0.5694,RETRY
rs::ADLVFFE4VBT8::B0002CPBUK::1229990400,gemini-3.1-pro-preview,0.8801,PASS
rs::ADLVFFE4VBT8::B0001LTT64::1229990400,claude-opus-4-7,0.8893,PASS
rt::ADLVFFE4VBT8::B0001IXUDK::1246924800,claude-opus-4-7,0.5916,RETRY
rt::ADLVFFE4VBT8::B0002L5R78::1229212800,claude-opus-4-7,0.5827,RETRY
rt::ADLVFFE4VBT8::B00006B8K2::1244160000,gemini-3.1-pro-preview,0.5245,RETRY
rs::ADLVFFE4VBT8::B000NO8GNG::1231200000,gemini-3.1-pro-preview,0.8723,PASS
rs::ADLVFFE4VBT8::B000FNBYKW::1263772800,claude-opus-4-7,0.8638,PASS
rs::ADLVFFE4VBT8::B000HDL05O::1276041600,gemini-3.1-pro-preview,0.8568,PASS
rt::ADLVFFE4VBT8::B000HKGK8Y::1264896000,claude-opus-4-7,0.5532,RETRY
rs::ADLVFFE4VBT8::B000MDZKUU::1369872000,claude-opus-4-7,0.7138,PASS
rt::ADLVFFE4VBT8::B000OH56ZS::1228780800,claude-opus-4-7,0.5751,RETRY
rt::ADLVFFE4VBT8::B000M2GYF6::1223251200,gemini-3.1-pro-preview,0.8625,PASS
rs::ADLVFFE4VBT8::B0009MFTSW::1271203200,gemini-3.1-pro-preview,0.7273,PASS
rt::ADLVFFE4VBT8::B00009V2W9::1255305600,gemini-3.1-pro-preview,0.6491,RETRY
rt::ADLVFFE4VBT8::B000EF3YQI::1267747200,gemini-3.1-pro-preview,0.6380,RETRY
rt::ADLVFFE4VBT8::B00093IIRA::1225324800,gemini-3.1-pro-preview,0.5565,RETRY
rs::ADLVFFE4VBT8::B00005114Z::1242691200,gemini-3.1-pro-preview,0.8308,PASS
rs::ADLVFFE4VBT8::B000JMJWV2::1293580800,gemini-3.1-pro-preview,0.8840,PASS
rs::ADLVFFE4VBT8::B0000VP1WQ::1245628800,gemini-3.1-pro-preview,0.8732,PASS
rs::ADLVFFE4VBT8::B000FDVK2E::1249516800,gemini-3.1-pro-preview,0.8897,PASS
rs::ADLVFFE4VBT8::B000M4XMGI::1225152000,gemini-3.1-pro-preview,0.8750,PASS
rt::ADLVFFE4VBT8::B0002CPBUK::1229990400,gemini-3.1-pro-preview,0.6138,RETRY
rt::ADLVFFE4VBT8::B00005114Z::1242691200,gemini-3.1-pro-preview,0.7649,PASS
rt::ADLVFFE4VBT8::B000J38QBS::1289520000,gemini-3.1-pro-preview,0.5249,RETRY
rs::ADLVFFE4VBT8::B0002KKIUA::1297382400,gemini-3.1-pro-preview,0.8418,PASS
rs::ADLVFFE4VBT8::B000HEANB0::1292371200,gemini-3.1-pro-preview,0.8807,PASS
rs::ADLVFFE4VBT8::B000OEOMOW::1226880000,gemini-3.1-pro-preview,0.8734,PASS
rt::ADLVFFE4VBT8::B000NO8GNG::1231200000,gemini-3.1-pro-preview,0.5325,RETRY
rt::ADLVFFE4VBT8::B0009MFTSW::1271203200,gemini-3.1-pro-preview,0.5853,RETRY
rt::ADLVFFE4VBT8::B000JMJWV2::1293580800,gemini-3.1-pro-preview,0.7668,PASS
